iterations,average,min,max
1,144448.68,130145,155262
2,138775.35,117224,152917
3,134127.59,109621,147250
4,129933.04,108507,143078
5,126265.61,108507,139861
6,123419.27,107072,138282
7,120915.44,105026,134129
8,118744.25,104083,130807
9,116799.53,101606,130430
10,115102.97,98921,128459
11,113398.53,98921,128459
12,111816.55,98921,126526
13,110741.17,98921,124347
14,109184.92,98093,123115
15,107954.5,97334,121009
16,106753.77,96496,118617
17,105434.63,92967,116975
18,104331.15,91663,116060
19,103369.27,91663,114932
20,102467.02,91663,114932
21,101561.4,90445,112499
22,100548.82,90445,111959
23,99734.94,90445,111959
24,98802.03,90340,111390
25,97924.73,88741,110929
26,97329.21,88741,110929
27,96743.25,88741,110929
28,96062.7,86256,109101
29,95296.57,86107,107445
30,94589.85,85322,106906
31,93733.04,85322,105791
32,93140.12,85037,105125
33,92579.4,83927,105125
34,91930.82,83927,102918
35,91232.81,80810,101243
36,90644.57,80810,100450
37,90165.68,80810,100122
38,89610.44,80810,100122
39,89145.63,80499,100122
40,88671.19,80499,100122
41,88175.02,80499,100064
42,87709.47,80499,100048
43,87241.73,78955,100048
44,86838.69,78955,99212
45,86453.37,78955,99210
46,85969.7,78941,96642
47,85535.27,77355,96642
48,85152.02,76469,95333
49,84787.56,75899,95333
50,84427.95,75899,93068
51,84036.58,75899,93015
52,83715.41,75262,93015
53,83336.65,75222,93015
54,82944.01,74938,93015
55,82562.94,74938,92726
56,82188.28,74938,92406
57,81884.36,74521,91959
58,81629.94,74260,91590
59,81352.35,74260,89710
60,81033.62,74260,89710
61,80600.3,72962,89649
62,80312.84,72927,87382
63,79980.4,72927,87382
64,79613.01,72395,87257
65,79368.51,72395,87257
66,79050.79,72395,87257
67,78806.83,71017,86101
68,78470.22,71017,86101
69,78261.52,71017,85695
70,77867.02,70907,84944
71,77618.7,70907,84944
72,77443.47,70907,84944
73,77226.82,70907,83541
74,76968.8,70907,83076
75,76639.91,70438,83076
76,76342.97,70438,83069
77,76129.12,70320,83069
78,75915.33,69777,82414
79,75720.49,69777,82003
80,75477.33,69777,81892
81,75325.95,69777,81892
82,75117.97,69777,81717
83,74923.49,68746,81717
84,74679.22,68437,80878
85,74367.68,68437,80878
86,74161.79,67935,80878
87,73912.9,67117,80878
88,73681.97,67117,80878
89,73512.5,66569,79901
90,73339,66569,79901
91,73146.62,66569,79837
92,72889.63,65989,79837
93,72725.51,65989,79837
94,72572.28,65699,79837
95,72383.8,65699,79837
96,72180.24,65446,79820
97,72013.11,64930,79820
98,71783.92,64930,79820
99,71570.62,64930,79820
100,71421.38,64930,79411
101,71334.18,64930,79411
102,71205.66,64930,79411
103,71045.28,64930,79411
104,70825.4,64357,78405
105,70687.06,64357,78405
106,70506.43,64357,78405
107,70371.13,64339,78405
108,70230.28,63446,78405
109,70107.44,63446,78405
110,69955.96,63446,77850
111,69809.05,63116,76713
112,69673.18,63116,76713
113,69486.45,62173,76713
114,69327.66,61925,76713
115,69188.7,61925,76220
116,69013.98,61925,76220
117,68900.01,61925,76031
118,68783.78,61925,75919
119,68609.64,61883,75919
120,68481.61,61883,75919
121,68319.24,59148,75919
122,68210.69,59148,75919
123,68032.01,59148,75919
124,67850.68,59148,75919
125,67751.15,59148,75919
126,67618.65,59148,75919
127,67520.74,59148,74856
128,67345.08,59148,74856
129,67240.84,59132,74723
130,67141.03,59132,74723
131,67012.1,59099,74723
132,66897.23,59099,74557
133,66792.93,59040,73759
134,66659.65,59040,73759
135,66527.87,59040,73172
136,66422.73,59040,72794
137,66312.4,59040,72736
138,66182.49,58454,72495
139,66030.04,58454,72196
140,65879.04,58403,72196
141,65791.49,57995,72180
142,65689.28,57995,72100
143,65576.66,57995,72100
144,65491.25,57995,72100
145,65392.91,57995,72096
146,65210.51,57995,71976
147,65138.6,57995,71768
148,65059.44,57995,71473
149,64963.77,57995,71473
150,64828.04,57995,71473
151,64739.56,57592,71473
152,64663.31,57592,71206
153,64524.97,57592,70327
154,64441.25,57592,70181
155,64365.09,57592,70181
156,64262.27,57571,70181
157,64141.5,57571,70181
158,64067.56,57571,70181
159,63966.47,57571,70181
160,63875.01,57571,70181
161,63773.08,57533,70181
162,63681.81,57533,70181
163,63558.02,57257,70181
164,63450.7,56334,69683
165,63387.7,56334,69683
166,63315.6,56334,69683
167,63253.74,56334,69683
168,63181.56,56334,69683
169,63056.39,56334,69212
170,62956.2,56334,69212
171,62887.55,56334,69212
172,62740.89,56334,69212
173,62691.31,56334,69212
174,62603.13,56334,69212
175,62561.66,56334,69212
176,62474.46,56334,69212
177,62386.03,54953,69212
178,62288.24,54953,69212
179,62184.48,54953,68780
180,62091.16,54953,68780
181,62019.2,54953,68780
182,61917.15,54953,68060
183,61811.75,54953,68060
184,61748.77,54953,68060
185,61688.32,54953,68060
186,61609.22,54953,68060
187,61550.38,54953,67482
188,61457.57,54518,67482
189,61413.63,54518,67482
190,61344.99,54518,67482
191,61285.1,54518,67482
192,61191.62,54518,67482
193,61122.5,54518,67482
194,61040.11,54518,67482
195,60989.06,54518,67482
196,60876.74,54328,67482
197,60798.59,54328,67083
198,60735.71,54328,66770
199,60709.65,54328,66770
200,60643.76,54247,66770
201,60579.19,54247,66770
202,60512.16,54247,66770
203,60440.18,54247,66770
204,60391.55,54247,66770
205,60340.08,54236,66770
206,60243.03,54147,66484
207,60153.49,53839,66484
208,60056.67,53839,66288
209,59993.46,53839,66288
210,59926.28,53839,66288
211,59854.61,53839,66288
212,59775.96,53839,66288
213,59683.75,53839,65940
214,59623.25,53772,65940
215,59572.44,53762,65633
216,59497.2,53762,65633
217,59444.93,53757,65633
218,59387.8,53369,65633
219,59329.37,53369,65311
220,59274.95,53369,65237
221,59222.2,53369,64926
222,59163.48,53369,64925
223,59092.62,53369,64896
224,59048.95,53369,64896
225,59015.03,53369,64896
226,58957.25,53369,64533
227,58877.54,53357,64533
228,58798.13,53357,64533
229,58743.91,52296,64533
230,58684.68,52296,64195
231,58617.12,52273,64195
232,58522.74,52273,64195
233,58460.87,52273,63955
234,58392.55,52257,63955
235,58300.29,52257,63955
236,58232.09,52257,63955
237,58199.48,52257,63955
238,58161.59,52213,63953
239,58111.54,52213,63953
240,58059.68,52213,63941
241,57985.59,52213,63941
242,57928.12,52213,63941
243,57887.08,52185,63941
244,57820.19,51540,63941
245,57726.65,51540,63105
246,57694.05,51540,63105
247,57630.12,51540,63105
248,57563.16,51540,63105
249,57491.55,51540,63105
250,57445.44,51540,63105
251,57407.94,51540,63105
252,57364.83,51540,62796
253,57311.48,51537,62496
254,57251.34,51537,62496
255,57176.11,51537,62402
256,57141.75,51341,62402
257,57086.71,51293,62402
258,57014.65,51293,62402
259,56935.16,51238,62402
260,56872.65,51238,62402
261,56819.11,51005,62402
262,56770.2,51005,62402
263,56733.03,51005,62402
264,56686.09,51005,62402
265,56628.12,51005,62402
266,56563.38,51005,62354
267,56517.13,51005,62354
268,56454.79,50951,61939
269,56403.48,50951,61939
270,56363.01,50951,61939
271,56309.19,50951,61939
272,56244.2,50686,61939
273,56171.8,50666,61917
274,56112.46,50666,61865
275,56065.17,50666,61865
276,55993.22,50660,61606
277,55936.3,50660,61606
278,55879.23,50570,61606
279,55852.55,50506,61606
280,55780.08,50506,61564
281,55743.32,50506,61564
282,55709.74,50506,61564
283,55669.83,50506,61564
284,55617.31,50506,61564
285,55550.68,50378,61564
286,55503.84,50378,61564
287,55458.36,50092,61564
288,55422.69,50092,61564
289,55379.49,50092,61564
290,55339.6,50092,61564
291,55269.97,49924,61564
292,55195.72,49924,61564
293,55166.12,49924,61564
294,55097.72,49573,60945
295,55069.2,49573,60945
296,55018.84,49573,60945
297,54935.5,49573,60704
298,54884.02,49573,60169
299,54848.97,49573,60139
300,54823.8,49573,60131
301,54799.43,49370,60131
302,54760.53,49370,60101
303,54705.01,49367,60101
304,54660.4,49367,60101
305,54623.33,48895,60101
306,54596.32,48895,60101
307,54536.04,48895,60101
308,54492.42,48895,60101
309,54435.6,48630,59983
310,54397.29,48630,59983
311,54332.64,48608,59853
312,54278.73,48608,59776
313,54240.62,48608,59776
314,54194.52,48608,59776
315,54161.5,48608,59776
316,54131.66,48549,59511
317,54090.15,48549,59511
318,54053.42,48549,59511
319,53996.98,48549,59506
320,53945.89,48549,59506
321,53917.59,48549,59506
322,53880.14,48471,59506
323,53841.19,48354,59506
324,53816.79,48354,59506
325,53761.76,48354,59506
326,53710.75,48354,59506
327,53668.71,48290,59097
328,53627.02,48054,58971
329,53586.5,48054,58971
330,53556.09,48054,58971
331,53520.61,47930,58971
332,53483.64,47930,58971
333,53435.22,47930,58604
334,53380.1,47930,58604
335,53355.38,47930,58604
336,53302.86,47930,58604
337,53268.14,47930,58604
338,53241.93,47590,58604
339,53180.02,47590,58604
340,53152.32,47590,58604
341,53110.44,47590,58604
342,53066.8,47590,58604
343,53041.07,47573,58604
344,52996.19,47573,58604
345,52952.77,47538,58604
346,52905.3,47538,58574
347,52848.04,47538,58401
348,52816.7,47538,58401
349,52782.59,47452,58401
350,52736.29,47452,58401
351,52691.87,47452,58401
352,52658.36,47452,58401
353,52643.19,47452,58133
354,52625.84,47452,58133
355,52585.42,47452,58133
356,52549.89,47452,58133
357,52504.34,47452,58133
358,52473.88,47452,58133
359,52452.41,47452,58133
360,52409.8,47299,58042
361,52379.67,47299,58042
362,52341.72,47299,58042
363,52319.93,47299,58042
364,52282.25,47299,57942
365,52242.41,47299,57942
366,52197.24,47299,57942
367,52158,47299,57540
368,52130.8,47275,57540
369,52088.22,47057,57503
370,52057.84,47057,57503
371,52013.9,47057,57503
372,51988.58,47033,57503
373,51951.64,47033,57503
374,51924.1,47033,57503
375,51890.35,47033,57503
376,51850.92,47033,57503
377,51818.6,46671,57503
378,51776.81,46671,57503
379,51755.75,46671,57503
380,51713.71,46671,57503
381,51680.55,46671,57503
382,51642.02,46576,57503
383,51607.11,46576,57503
384,51589.45,46576,57503
385,51562.98,46576,57503
386,51540.17,46525,57457
387,51506.89,46525,57457
388,51472.47,46525,57457
389,51431.78,46191,57447
390,51385.98,46191,56951
391,51350.11,46191,56951
392,51308.5,46191,56951
393,51273.76,46179,56951
394,51249.7,46179,56951
395,51199.76,46179,56951
396,51151.39,46040,56951
397,51130.08,46040,56951
398,51116.28,46040,56951
399,51077.29,46038,56951
400,51048.77,45992,56951
401,51007.66,45992,56951
402,50963.19,45992,56951
403,50938.32,45804,56951
404,50894.78,45804,56951
405,50866.16,45804,56951
406,50811.76,45804,56951
407,50762.43,45804,56951
408,50745.58,45804,56951
409,50726.56,45804,56951
410,50668.08,45804,56951
411,50640.71,45804,56551
412,50620.96,45804,56551
413,50600,45804,56551
414,50560.4,45804,56551
415,50541.55,45804,56551
416,50524.17,45804,56551
417,50488.31,45804,56551
418,50447.14,45804,56551
419,50405.81,45785,56486
420,50369.29,45785,56197
421,50337.22,45785,56197
422,50298.98,45785,55846
423,50268.42,45785,55846
424,50242.35,45785,55846
425,50212.61,45749,55846
426,50188.32,45625,55846
427,50154.86,45625,55846
428,50124.95,45625,55846
429,50104.45,45625,55846
430,50068.47,45625,55846
431,50028.21,45625,55846
432,49994.26,45603,55846
433,49953.3,45510,55666
434,49922.69,45510,55666
435,49897.31,44937,55666
436,49879.61,44937,55666
437,49838.14,44937,55666
438,49824.88,44930,55666
439,49797.78,44930,55666
440,49787.73,44930,55666
441,49744.53,44930,55666
442,49724.16,44739,55666
443,49689.82,44739,55666
444,49651.9,44739,55666
445,49607.49,44739,55666
446,49583.9,44739,55666
447,49567.07,44739,55666
448,49515.45,44739,54865
449,49489.8,44739,54865
450,49476.85,44739,54865
451,49451.82,44739,54865
452,49419.98,44739,54856
453,49406.35,44739,54850
454,49374.01,44739,54821
455,49343.08,44731,54821
456,49312.22,44731,54775
457,49301.1,44731,54775
458,49278.77,44731,54745
459,49248.75,44731,54745
460,49222.01,44731,54745
461,49185.33,44731,54729
462,49151.43,44731,54729
463,49125.04,44731,54729
464,49096.63,44685,54729
465,49059.22,44685,54729
466,49023.07,44685,54701
467,49006.11,44685,54701
468,48973.08,44685,54701
469,48931.66,44685,54701
470,48910.93,44685,54701
471,48891.24,44425,54315
472,48869.81,44425,54315
473,48830.51,44425,54315
474,48802.49,44425,54315
475,48781.4,44425,54315
476,48747.82,43925,54315
477,48726.04,43925,54315
478,48708.23,43925,54315
479,48648.74,43741,54315
480,48636.76,43741,54315
481,48624.91,43741,54315
482,48607.19,43741,54315
483,48582.27,43736,54315
484,48563.32,43734,54315
485,48542.81,43734,54315
486,48510.81,43734,54315
487,48497.1,43734,54315
488,48467.94,43734,54315
489,48432.43,43734,54315
490,48414.48,43734,54315
491,48388.05,43517,54300
492,48366.51,43517,54300
493,48355.12,43328,54300
494,48341.48,43328,54291
495,48321.38,43328,54241
496,48284.35,43328,54241
497,48257.23,43328,54241
498,48235.97,43226,54241
499,48225.96,43226,54241
500,48201.7,43226,54241
501,48171.82,43226,54241
502,48143.18,43226,54241
503,48123.78,43226,54241
504,48100.26,43037,54241
505,48068.58,43037,54241
506,48050.16,43037,54241
507,48031.6,43037,54241
508,48013.78,43037,54241
509,47986.68,43037,54241
510,47963.24,43037,54241
511,47937.23,43037,54241
512,47924.56,43037,54241
513,47915.09,43037,54241
514,47881.22,42847,54241
515,47854.74,42754,54241
516,47834.23,42495,54241
517,47819.77,42495,54241
518,47794.57,42495,54241
519,47778,42403,54241
520,47768.76,42403,54241
521,47740.51,42403,54241
522,47721.92,42403,54241
